Descriptors,,,Core,,,,,,,,,,,,,,,,Supplemental,,,,,,,,,,,,,,,,Expansion,,
Item,Serving,Unit,g - mL,Kcal,Fat,Sat Fat,PUFA,MUFA,Na,K,Carb,Fiber,Sugar,Protein,VitA,VitC,Ca,Fe,VitD,VitE,VitK,B1,B2,B3,B6,B9,B12,Cu,I,Mg,Mn,P,Se,Zn,ω-3,Sol Fiber,
Flour (Rice),3,tbsp,30,120,0.5,0,,,0,,26,,,2,0%,0%,4%,8%,,,,,,,,,,,,,,,,,,,
Flour (Unbleached),0.25,cup,30,110,0,0,,,0,,23,1,0,4,0%,0%,0%,8%,,,,15%,8%,8%,,10%,,,,,,,,,,,
Flour (Whole Wheat),0.25,cup,30,110,0.5,0,,,0,,21,4,1,4,0%,0%,0%,2%,,,,,,,,,,,,,,,,,,,
Garlic (Chopped In Water),1,tbsp,15,30,0,0,,,0,,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Garlic (Fresh),1,clove,3,4,0,0,0,0,1,12,1,0,0,0,0%,2%,1%,0%,,,,,,,,,,,,,,,,,,,
Honey,1,tbsp,21,60,0,,,,0,,17,,16,0,,,,,,,,,,,,,,,,,,,,,,,
Imitation Crab,3,oz,85,81,0.4,0.2,0.1,0.1,715,77,13,0.4,5,6,0%,0%,1%,1%,,,,,,,,,8%,,,9%,,,,,,,
Marinara (Tomato Basil Pasta Sauce),0.5,cup,113,70,4,1,,,400,,4,2,3,3,30%,2%,2%,8%,,,,,,,,,,,,,,,,,,,
Mayonnaise (Smart Balance),1,tbsp,15,50,5,0,1.5,2.5,125,5,2,0,1,0,,,,,,10%,,,,,,,,,,,,,,,,,
Milk (1% With Vitamins A+D),8,fl oz,240,110,2.5,1.5,,,130,370,12,0,12,8,10%,4%,30%,0%,25%,,,,,,,,,,,,,,,,,,
Minced Clams (In Clam Juice),2,oz,55,25,0,0,0,0,350,25,3,0,0,3,0%,0%,0%,4%,,,,,,,,,,,,,,,30%,,,,
